OBJECTID,count,sex_class,height,latitude,longitude,location_route,start_date,perch_nest_sub,flight_behaviours,perched_behaviours,distance_m,prefered_name,Raptor Group,Temperature,Cloud,Wind,survey_ID,transect_ID,transect_repeat,season
1244543,2,undetermined,20 - 50 m (pylons / tall tree height),-35.16880578,138.509943,South Adelaide,"2/9/2023, 12:26 PM",unspecified,soaring,unspecified,361,Wedge-tailed Eagle,eagles,Hot,Clear,Still,36,SA_3,2,1
1244538,1,undetermined,1 - 20 m (poles / low tree height),-34.33068808,138.9919676,Nuriootpa,"2/13/2023, 11:24 AM",unspecified,hovering,unspecified,353,Nankeen Kestrel,kesrels,Cool,Clear,Wind,41,N_3,2,1
1244539,1,undetermined,20 - 50 m (pylons / tall tree height),-34.39850706,139.0002462,Nuriootpa,"2/13/2023, 11:07 AM",unspecified,soaring,unspecified,386,Brown Falcon,falcons,Cool,Clear,Wind,41,N_3,2,1
1244540,1,undetermined,1 - 20 m (poles / low tree height),-34.43633314,138.9700408,Nuriootpa,"2/13/2023, 10:43 AM",overhead lines,unspecified,just perching,186,Nankeen Kestrel,kesrels,Cool,Clear,Wind,41,N_3,2,1
1244541,1,undetermined,20 - 50 m (pylons / tall tree height),-34.43921274,138.9673778,Nuriootpa,"2/13/2023, 10:41 AM",unspecified,soaring,unspecified,430,Wedge-tailed Eagle,eagles,Cool,Clear,Wind,41,N_3,2,1
1244536,2,undetermined,1 - 20 m (poles / low tree height),-34.43328005,139.0846003,Nuriootpa,"2/13/2023, 12:34 PM",unspecified,gliding and flapping (directional flight),unspecified,40,Collared Sparrowhawk,hawks,Warm,Clear,Breeze,42,N_2,2,1
1244537,1,undetermined,20 - 50 m (pylons / tall tree height),-34.44280237,139.0910669,Nuriootpa,"2/13/2023, 12:28 PM",unspecified,soaring,unspecified,314,Wedge-tailed Eagle,eagles,Warm,Clear,Breeze,42,N_2,2,1
1244530,1,undetermined,1 - 20 m (poles / low tree height),-33.74790151,138.505327,Clare,"2/14/2023, 9:42 AM",unspecified,hovering,unspecified,89,Nankeen Kestrel,kesrels,Cool,Clear,Wind,43,C_3,2,1
1244531,1,undetermined,1 - 20 m (poles / low tree height),-33.77228785,138.5436761,Clare,"2/14/2023, 9:34 AM",unspecified,gliding and flapping (directional flight),unspecified,132,Nankeen Kestrel,kesrels,Cool,Clear,Wind,43,C_3,2,1
1244532,1,undetermined,20 - 50 m (pylons / tall tree height),-33.78341337,138.5537513,Clare,"2/14/2023, 9:28 AM",unspecified,hovering,unspecified,530,Nankeen Kestrel,kesrels,Cool,Clear,Wind,43,C_3,2,1
1244533,1,undetermined,1 - 20 m (poles / low tree height),-33.78741596,138.5678103,Clare,"2/14/2023, 9:21 AM",unspecified,hovering,unspecified,345,Nankeen Kestrel,kesrels,Cool,Clear,Wind,43,C_3,2,1
1244534,1,undetermined,50 - 150 m (at risk colliding with turbines),-33.79404578,138.5770215,Clare,"2/14/2023, 9:12 AM",unspecified,soaring,unspecified,415,Wedge-tailed Eagle,eagles,Cool,Clear,Wind,43,C_3,2,1
1244535,1,undetermined,20 - 50 m (pylons / tall tree height),-33.84390303,138.6159822,Clare,"2/14/2023, 8:55 AM",unspecified,soaring,unspecified,299,Little Eagle,eagles,Cool,Clear,Wind,43,C_3,2,1
1244529,2,undetermined,1 - 20 m (poles / low tree height),-33.8771731,138.6406082,Clare,"2/14/2023, 10:24 AM",unspecified,hovering,unspecified,207,Nankeen Kestrel,kesrels,Warm,Clear,Breeze,44,C_2,2,1
1244526,1,undetermined,1 - 20 m (poles / low tree height),-33.73914504,138.6423048,Clare,"2/14/2023, 12:00 PM",unspecified,gliding and flapping (directional flight),unspecified,538,Nankeen Kestrel,kesrels,Warm,Clear,Breeze,45,C_1,2,1
1244527,1,undetermined,0 m ground level,-33.76120357,138.6394102,Clare,"2/14/2023, 11:55 AM",boulder,unspecified,just perching,14,Nankeen Kestrel,kesrels,Warm,Clear,Breeze,45,C_1,2,1
1244528,1,undetermined,50 - 150 m (at risk colliding with turbines),-33.80043271,138.6238447,Clare,"2/14/2023, 11:45 AM",unspecified,soaring,unspecified,370,Wedge-tailed Eagle,eagles,Warm,Clear,Breeze,45,C_1,2,1
1244518,1,undetermined,1 - 20 m (poles / low tree height),-32.6305353,137.7583952,Port Augusta,"2/15/2023, 7:52 AM",overhead lines,unspecified,just perching,219,Nankeen Kestrel,kesrels,Cool,Clear,Still,46,PA_1,2,1
1244519,1,undetermined,1 - 20 m (poles / low tree height),-32.62717032,137.7599232,Port Augusta,"2/15/2023, 7:50 AM",unspecified,gliding and flapping (directional flight),unspecified,129,Nankeen Kestrel,kesrels,Cool,Clear,Still,46,PA_1,2,1
1244520,1,undetermined,1 - 20 m (poles / low tree height),-32.60912523,137.7621328,Port Augusta,"2/15/2023, 7:44 AM",overhead lines,unspecified,just perching,301,Nankeen Kestrel,kesrels,Cool,Clear,Still,46,PA_1,2,1
1244521,1,undetermined,1 - 20 m (poles / low tree height),-32.54890359,137.7476777,Port Augusta,"2/15/2023, 7:32 AM",overhead lines,unspecified,just perching,11,Nankeen Kestrel,kesrels,Cool,Clear,Still,46,PA_1,2,1
1244522,1,undetermined,1 - 20 m (poles / low tree height),-32.52763852,137.7378085,Port Augusta,"2/15/2023, 7:26 AM",overhead lines,unspecified,just perching,4,Nankeen Kestrel,kesrels,Cool,Clear,Still,46,PA_1,2,1
1244523,1,undetermined,1 - 20 m (poles / low tree height),-32.52283791,137.7376525,Port Augusta,"2/15/2023, 7:25 AM",overhead lines,unspecified,just perching,6,Nankeen Kestrel,kesrels,Cool,Clear,Still,46,PA_1,2,1
1244524,1,undetermined,1 - 20 m (poles / low tree height),-32.49298176,137.7460593,Port Augusta,"2/15/2023, 7:18 AM",small tree,unspecified,just perching,73,Black-shouldered Kite,kites&others,Cool,Clear,Still,46,PA_1,2,1
1244525,1,undetermined,1 - 20 m (poles / low tree height),-32.47523547,137.7597919,Port Augusta,"2/15/2023, 7:11 AM",small tree,unspecified,just perching,129,Black-shouldered Kite,kites&others,Cool,Clear,Still,46,PA_1,2,1
1244509,1,undetermined,1 - 20 m (poles / low tree height),-32.37413203,137.8557512,Port Augusta,"2/15/2023, 9:09 AM",overhead lines,unspecified,unspecified,150,Nankeen Kestrel,kesrels,Warm,Clear,Still,47,PA_2,2,1
1244510,1,undetermined,1 - 20 m (poles / low tree height),-32.48895192,137.7765341,Port Augusta,"2/15/2023, 8:58 AM",overhead lines,perching,unspecified,40,Brown Falcon,falcons,Warm,Clear,Still,47,PA_2,2,1
1244511,1,undetermined,1 - 20 m (poles / low tree height),-32.440312,137.8491208,Port Augusta,"2/15/2023, 8:51 AM",unspecified,flapping,unspecified,0,Wedge-tailed Eagle,eagles,Warm,Clear,Still,47,PA_2,2,1
